qualtrics_qid,internal_qid,question_text,response_option_index,response_option_label,note
Duration (in seconds),,,,,not found in Qualtrics survey definition
ExternalReference,,,,,not found in Qualtrics survey definition
Finished,,,,,not found in Qualtrics survey definition
Progress,,,,,not found in Qualtrics survey definition
Q42,QID42,Have you ever used a grocery or food delivery platform?,1,"Yes, as a customer",
Q42,QID42,Have you ever used a grocery or food delivery platform?,4,"Yes, as a delivery driver",
Q42,QID42,Have you ever used a grocery or food delivery platform?,5,"Yes, as a restaurant/business",
Q42,QID42,Have you ever used a grocery or food delivery platform?,6,Never,
Q44,QID44,1. Which order(s) is the best choice starting from Los Angeles? Bundling orders from the same store saves 10 seconds.,1,"A: $10, Los Angeles, Target, Apple x1, 20 sec",
Q44,QID44,1. Which order(s) is the best choice starting from Los Angeles? Bundling orders from the same store saves 10 seconds.,2,"C: $18, Los Angeles, Safeway, Apple x1, 20 sec",
Q44,QID44,1. Which order(s) is the best choice starting from Los Angeles? Bundling orders from the same store saves 10 seconds.,3,"B: $17, Los Angeles, Safeway, Apple x1, 20 sec",
Q44,QID44,1. Which order(s) is the best choice starting from Los Angeles? Bundling orders from the same store saves 10 seconds.,4,"D: $5, Los Angeles, Walmart, Apple x1, 20 sec",
Q50,QID50,2. Which order(s) is the best choice starting from Los Angeles? Bundling orders from the same store saves 10 seconds.,1,"A: $10, Los Angeles, Target, Apple x2, 20 sec",
Q50,QID50,2. Which order(s) is the best choice starting from Los Angeles? Bundling orders from the same store saves 10 seconds.,2,"C: $18, Los Angeles, Safeway, Apple x2, 20 sec",
Q50,QID50,2. Which order(s) is the best choice starting from Los Angeles? Bundling orders from the same store saves 10 seconds.,3,"B: $10, Los Angeles, Target, Grape x3, 20 sec",
Q50,QID50,2. Which order(s) is the best choice starting from Los Angeles? Bundling orders from the same store saves 10 seconds.,4,"D: $10, Los Angeles, Target, Banana x1, 20 sec",
Q54,QID54,3. Which order(s) is the best choice starting from Los Angeles? Bundling orders from the same store saves 10 seconds. The estimated time for each order already includes any city travel needed.,1,"A: $14, Los Angeles, Safeway, Apple x2, 20 sec",
Q54,QID54,3. Which order(s) is the best choice starting from Los Angeles? Bundling orders from the same store saves 10 seconds. The estimated time for each order already includes any city travel needed.,2,"C: $15, Irvine, Target, Apple x2, 25 sec",
Q54,QID54,3. Which order(s) is the best choice starting from Los Angeles? Bundling orders from the same store saves 10 seconds. The estimated time for each order already includes any city travel needed.,3,"B: $16, Los Angeles, Safeway, Orange x2, 20 sec",
Q54,QID54,3. Which order(s) is the best choice starting from Los Angeles? Bundling orders from the same store saves 10 seconds. The estimated time for each order already includes any city travel needed.,4,"D: $15, Irvine, Target, Orange x2, 25 sec",
Status,,,,,not found in Qualtrics survey definition
UserLanguage,,,,,not found in Qualtrics survey definition
age,QID63,What is your age?,,,no choice options (free-text or numeric entry)
bundleGameSaveStatus,,,,,not found in Qualtrics survey definition
comp1,QID26,How many orders may you select?,1,"1, 2, or 3 orders from the same store",
comp1,QID26,How many orders may you select?,2,"1, 2, or 3 orders from any store",
comp1,QID26,How many orders may you select?,3,1–4 orders,
comp1,QID26,How many orders may you select?,4,Only 1 order,
comp2,QID28,What are all the ways to travel? Select all that apply.,1,Click a location on the map,
comp2,QID28,What are all the ways to travel? Select all that apply.,2,Use the travel buttons at the bottom of the screen,
